Name,Score,Numberofscore,Review,Link,Addr,Typename
광고온고을,3.2,5,6,https://place.map.kakao.com/16472635,서울 노원구 동일로 1065,한식
광고소문난기사식당,3.6,7,18,https://place.map.kakao.com/16268498,서울 노원구 동일로192길 30,기사식당
라라브레드 공릉점,3.7,68,364,https://place.map.kakao.com/872257394,서울 노원구 공릉로41길 32,디저트카페
경복식당,4.7,107,131,https://place.map.kakao.com/16414503,서울 노원구 공릉로39길 10,한식
공릉본점닭한마리 본점,3.9,46,76,https://place.map.kakao.com/20553565,서울 노원구 동일로 1020,닭요리
제일콩집,3.5,53,81,https://place.map.kakao.com/8083654,서울 노원구 동일로174길 37-8,두부전문점
에그머니,4.3,38,160,https://place.map.kakao.com/1826529353,서울 노원구 화랑로 421,양식
쪼매매운떡볶이 공릉점,4.5,81,121,https://place.map.kakao.com/16703995,서울 노원구 공릉로 208,떡볶이
소문난멸치국수,3.3,48,84,https://place.map.kakao.com/13305804,서울 노원구 동일로173가길 81,국수
경회루,3.8,14,49,https://place.map.kakao.com/18722630,서울 노원구 동일로 1005 지하1층,한정식
기찻길풍경야채곱창,3.1,27,148,https://place.map.kakao.com/1137642618,서울 노원구 공릉로39길 21 1층,"곱창,막창"
원조이모네연탄불곱창,2.3,42,59,https://place.map.kakao.com/21412672,서울 노원구 동일로192길 46,"곱창,막창"
상상과자점,3.9,28,96,https://place.map.kakao.com/1571140539,서울 노원구 동일로186길 77-7,디저트카페
아소코 공릉점,3.3,29,54,https://place.map.kakao.com/2013086833,서울 노원구 동일로184길 53 1층,일식집
참만나,4.3,8,21,https://place.map.kakao.com/20749857,서울 노원구 화랑로 443 디벨리움 3층,갈비
핏짜굽는언니 공릉점,3.0,33,58,https://place.map.kakao.com/21525800,서울 노원구 동일로198길 58 1층,피자
따미커피,4.7,24,15,https://place.map.kakao.com/818423534,서울 노원구 공릉로 120,커피전문점
던모스,2.7,26,132,https://place.map.kakao.com/1520080778,서울 노원구 공릉로27길 8 1층,카페
카페드미셸,2.5,21,56,https://place.map.kakao.com/990866386,"서울 노원구 화랑로 441 미라쉘 1,2층",카페
바네하임,3.7,18,4,https://place.map.kakao.com/16999919,서울 노원구 공릉로32길 54 고려빌딩 1층,"호프,요리주점"
스타벅스 공릉DT점,3.0,29,44,https://place.map.kakao.com/1826125340,서울 노원구 동일로 1015,커피전문점
