Name,Score,Review,Link,Addr
신가네칼국수 노원본점,4.4,160,https://place.map.kakao.com/9199444,"
서울 노원구 공릉로59나길 78-14 1층
(지번) 하계동 115-1
"
해품장 팔팔장어 본점,4.4,62,https://place.map.kakao.com/804932066,"
서울 노원구 노원로 192
(지번) 하계동 69-8
"
제형면옥 하계점,2.9,25,https://place.map.kakao.com/84131333,"
서울 노원구 공릉로65길 16
(지번) 하계동 115-5
"
마들원,2.0,55,https://place.map.kakao.com/1394900382,"
서울 노원구 공릉로62길 27-11
(지번) 하계동 180-1
"
DNJ레스토랑,3.0,11,https://place.map.kakao.com/21391105,"
서울 노원구 노원로 244 1층
(지번) 하계동 256-11
"
참누렁소,2.3,37,https://place.map.kakao.com/13094333,"
서울 노원구 공릉로63길 13
(지번) 하계1동 276-6
"
태능숯불갈비,3.3,11,https://place.map.kakao.com/9490689,"
서울 노원구 한글비석로1길 37
(지번) 하계동 208-1
"
502세컨즈카페 노원점,1.6,17,https://place.map.kakao.com/27583400,"
서울 노원구 섬밭로 232 1층
(지번) 하계동 270
"
포앤반 하계역점,4.5,37,https://place.map.kakao.com/1288692596,"
서울 노원구 공릉로 322-3 1층
(지번) 하계동 170-36
"
신고집찜칼국수 본점,3.5,22,https://place.map.kakao.com/9217906,"
서울 노원구 노원로15길 51-30
(지번) 하계동 209-2
"
신설국,3.7,18,https://place.map.kakao.com/7948597,"
서울 노원구 노원로 257 인정빌딩 2층 201호
(지번) 하계동 251-4
"
장위동유성집 노원점,3.0,9,https://place.map.kakao.com/9341030,"
서울 노원구 한글비석로1길 68
(지번) 하계동 251
"
버거투버거,4.7,14,https://place.map.kakao.com/16877137,"
서울 노원구 공릉로62가길 50
(지번) 하계동 59
"
짬뽕필락 하계점,3.1,12,https://place.map.kakao.com/14747411,"
서울 노원구 공릉로70길 6 2층
(지번) 하계동 208-26
"
향림,2.3,6,https://place.map.kakao.com/8613656,"
서울 노원구 한글비석로 127 마린스포츠센타 2층
(지번) 하계동 256-5
"
허니돈,4.6,30,https://place.map.kakao.com/1353431124,"
서울 노원구 한글비석로 57 세이브존 지하1층
(지번) 하계동 284
"
카페밀크콩 하계점,3.8,8,https://place.map.kakao.com/1874910506,"
서울 노원구 공릉로59나길 48-8 1,2층
(지번) 하계동 115-13
"
영덕물회전문,5.0,2,https://place.map.kakao.com/16051496,"
서울 노원구 공릉로58길 63
(지번) 하계동 158-4
"
맥도날드 한신점,2.4,7,https://place.map.kakao.com/1372576235,"
서울 노원구 한글비석로 57
(지번) 하계동 284
"
태능우렁쌈밥 하계점,2.4,10,https://place.map.kakao.com/20198541,"
서울 노원구 한글비석로1길 37 2층
(지번) 하계동 208-1
"
스시준,3.5,11,https://place.map.kakao.com/21697154,"
서울 노원구 공릉로70길 8-3
(지번) 하계동 208-23
"
스시다네,2.4,4,https://place.map.kakao.com/681342661,"
서울 노원구 한글비석로1길 33
(지번) 하계동 208-5
"
돈까스클럽 서울온천점,3.0,19,https://place.map.kakao.com/19567834,"
서울 노원구 노원로 247 1층
(지번) 하계동 251-7
"
스시앤모어,4.5,13,https://place.map.kakao.com/1601120420,"
서울 노원구 공릉로62가길 14
(지번) 하계동 168-1
"
참한우본가,5.0,3,https://place.map.kakao.com/20748479,"
서울 노원구 공릉로58가길 14
(지번) 하계동 169-1
"
카페인중독 노원점,4.3,5,https://place.map.kakao.com/1018192221,"
서울 노원구 공릉로58길 126
(지번) 하계동 72
"
닭한마리,5.0,9,https://place.map.kakao.com/1322840522,"
서울 노원구 공릉로70길 12
(지번) 하계동 208-3
"
하남돼지집 노원하계점,1.8,11,https://place.map.kakao.com/344763652,"
서울 노원구 한글비석로1길 51
(지번) 하계동 213-5
"
달밭소곱창,4.6,11,https://place.map.kakao.com/27589889,"
서울 노원구 한글비석로1길 68 타임빌딩 1층
(지번) 하계동 251
"
웅가네 개성김치녹차삼겹살,5.0,8,https://place.map.kakao.com/11181285,"
서울 노원구 공릉로59길 15 웅진상가동 1층 102호
(지번) 하계동 274-1
"
해주곰탕 하계직영점,3.3,4,https://place.map.kakao.com/9583651,"
서울 노원구 공릉로 360
(지번) 하계동 208-32
"
퀴헨,3.8,6,https://place.map.kakao.com/612388833,"
서울 노원구 공릉로58길 120
(지번) 하계동 72
"
