Name,Score,Numberofscore,Review,Link,Addr,Typename
크래버대게나라 노원점,4.2,87,217,https://place.map.kakao.com/1028261118,서울 노원구 한글비석로 326 1층,"게,대게"
돈까스먹는용만이,3.6,35,123,https://place.map.kakao.com/12460195,서울 노원구 한글비석로20길 52,"돈까스,우동"
호접몽,3.6,17,35,https://place.map.kakao.com/8177898,서울 노원구 중계로18길 9,중화요리
중계고기파티,4.0,12,127,https://place.map.kakao.com/282482500,서울 노원구 중계로12길 6 1층,"육류,고기"
이종구낙지세상,4.5,15,23,https://place.map.kakao.com/26895444,서울 노원구 중계로 90 우암타운 1층,"해물,생선"
하나샤브샤브,3.4,16,44,https://place.map.kakao.com/187151325,서울 노원구 동일로203가길 29 브라운스톤상가 101호,샤브샤브
속초붉은대게 중계점,3.5,2,20,https://place.map.kakao.com/1701868494,서울 노원구 중계동 589,"게,대게"
칠성해물통짬뽕,4.4,30,21,https://place.map.kakao.com/27496127,서울 노원구 덕릉로83길 5 2층,중화요리
봉평메밀막국수 상계본점,3.9,16,13,https://place.map.kakao.com/9054096,서울 노원구 한글비석로20길 61,국수
화로상회 상계역점,2.2,9,54,https://place.map.kakao.com/1461918151,서울 노원구 한글비석로 384 대호프라자 113~120호,"육류,고기"
영스넥,4.1,8,8,https://place.map.kakao.com/17079040,서울 노원구 한글비석로 245 두타빌 A동 지하1층 109호,떡볶이
봉심이족발,4.0,5,67,https://place.map.kakao.com/7908636,서울 노원구 덕릉로83길 20-5,"족발,보쌈"
노브랜드버거 중계공원점,3.7,12,49,https://place.map.kakao.com/243743514,서울 노원구 동일로204가길 34,패스트푸드
온달왕돈까스 상계점,3.4,8,16,https://place.map.kakao.com/10625264,서울 노원구 한글비석로20길 10,"돈까스,우동"
거북이삼겹살,5.0,3,57,https://place.map.kakao.com/1578482811,"서울 노원구 덕릉로 721 정진아트리움 107,108호",삼겹살
스타벅스 은행사거리점,3.2,6,4,https://place.map.kakao.com/10538293,"서울 노원구 중계로 217 중흥빌딩 103,203호",커피전문점
천우가,4.4,5,18,https://place.map.kakao.com/1431583989,서울 노원구 덕릉로 688 6층,"육류,고기"
애슐리퀸즈 2001중계점,1.8,17,49,https://place.map.kakao.com/8459531,서울 노원구 동일로204가길 46 8층,패밀리레스토랑
아리엔스시,4.3,11,18,https://place.map.kakao.com/18510014,서울 노원구 중계로 225 청구종합상가동 1층 143호,"초밥,롤"
맥도날드 중계점,2.5,6,2,https://place.map.kakao.com/7860478,서울 노원구 중계로 218,패스트푸드
카페브람스,2.1,8,11,https://place.map.kakao.com/1176215888,서울 노원구 중계로8길 48,카페
일식어원,4.0,5,16,https://place.map.kakao.com/8492822,서울 노원구 한글비석로 254,일식집
사이코우스시,1.1,8,15,https://place.map.kakao.com/24811983,서울 노원구 덕릉로73길 18,"초밥,롤"
KFC 중계은행사거리점,2.4,7,2,https://place.map.kakao.com/27584428,서울 노원구 한글비석로 227,패스트푸드
요남자 중계점,4.4,5,11,https://place.map.kakao.com/25936383,서울 노원구 중계로16길 30 1층,양식
라트커피,5.0,7,29,https://place.map.kakao.com/743923214,서울 노원구 한글비석로 245 두타빌상가 B동 1층 124호,커피전문점
뚝배기바지락칼국수,4.8,8,6,https://place.map.kakao.com/11884233,서울 노원구 중계로 158,국수
송화강식당,3.9,8,14,https://place.map.kakao.com/17588226,서울 노원구 한글비석로20길 14,양꼬치
은사즉석떡볶이,5.0,4,5,https://place.map.kakao.com/1026702659,서울 노원구 한글비석로 264 그랜드프라자 2층,떡볶이
최고집칼국수 중계점,3.1,8,1,https://place.map.kakao.com/10841140,서울 노원구 한글비석로 325,국수
미스터회전초밥,0.0,0,0,https://place.map.kakao.com/333754774,서울 노원구 한글비석로 264,음식점
투썸플레이스 중계은행사거리점,2.3,8,4,https://place.map.kakao.com/14683999,서울 노원구 한글비석로 242 삼부플라자 1층,커피전문점
청계천8가삼성곱창,5.0,11,6,https://place.map.kakao.com/27496466,서울 노원구 중계로14길 29,"곱창,막창"
타요키즈카페 서울중계점,2.0,1,8,https://place.map.kakao.com/26352452,서울 노원구 덕릉로 669 5층,키즈카페
갈비1번지,4.0,6,12,https://place.map.kakao.com/1676142968,"서울 노원구 한글비석로 366 신일아파트 1층 101,102호",갈비
양평해장국 중계점,4.5,10,6,https://place.map.kakao.com/71777233,서울 노원구 동일로203가길 29 브라운스톤 167~169호,해장국
플루토,2.3,3,13,https://place.map.kakao.com/14632086,서울 노원구 동일로 1308 정안프라자 지하1층,뷔페
마리채 상계점,3.5,6,3,https://place.map.kakao.com/21237096,서울 노원구 덕릉로83길 9-8,"육류,고기"
매머드커피 상계역점,3.8,6,3,https://place.map.kakao.com/1885490296,서울 노원구 한글비석로 384 대호상가 1층 125-1호,커피전문점
시골순대 상계점,5.0,6,7,https://place.map.kakao.com/16589600,서울 노원구 한글비석로20길 57,순대
나우키친 중계점,4.3,13,61,https://place.map.kakao.com/24406896,서울 노원구 한글비석로 254,양식
이층소정육식당 상계역점,2.5,2,45,https://place.map.kakao.com/258630503,서울 노원구 한글비석로 369 2층,"육류,고기"
리차이나,3.2,10,13,https://place.map.kakao.com/26547607,서울 노원구 동일로203가길 29 브라운스톤 279호,중화요리
군자대한곱창 중계점,5.0,6,35,https://place.map.kakao.com/1822344286,서울 노원구 중계로 201 오성프라자 1층,"곱창,막창"
커피빈 중계동은행사거리점,2.3,3,4,https://place.map.kakao.com/26624130,서울 노원구 한글비석로 263 성모빌딩 1층,커피전문점
홍연집 상계역점,2.2,5,25,https://place.map.kakao.com/27478815,서울 노원구 덕릉로83길 19-5,회
