Name,Score,Review,Link,Addr
크래버대게나라 노원점,4.2,218,https://place.map.kakao.com/1028261118,"
서울 노원구 한글비석로 326 1층
(지번) 중계동 369-9
"
돈까스먹는용만이,3.6,122,https://place.map.kakao.com/12460195,"
서울 노원구 한글비석로20길 52
(지번) 중계동 140-42
"
호접몽,3.6,37,https://place.map.kakao.com/8177898,"
서울 노원구 중계로18길 9
(지번) 중계동 366-15
"
중계고기파티,4.0,127,https://place.map.kakao.com/282482500,"
서울 노원구 중계로12길 6 1층
(지번) 중계동 58-8
"
이종구낙지세상,4.4,23,https://place.map.kakao.com/26895444,"
서울 노원구 중계로 90 우암타운 1층
(지번) 중계동 27
"
하나샤브샤브,3.4,46,https://place.map.kakao.com/187151325,"
서울 노원구 동일로203가길 29 브라운스톤상가 101호
(지번) 중계동 506
"
속초붉은대게 중계점,3.5,21,https://place.map.kakao.com/1701868494,"
서울 노원구 중계동 589

"
칠성해물통짬뽕,4.4,22,https://place.map.kakao.com/27496127,"
서울 노원구 덕릉로83길 5 2층
(지번) 중계동 606
"
봉평메밀막국수 상계본점,3.9,14,https://place.map.kakao.com/9054096,"
서울 노원구 한글비석로20길 61
(지번) 중계동 141-16
"
화로상회 상계역점,2.2,53,https://place.map.kakao.com/1461918151,"
서울 노원구 한글비석로 384 대호프라자 113~120호
(지번) 중계동 591
"
영스넥,4.1,8,https://place.map.kakao.com/17079040,"
서울 노원구 한글비석로 245 두타빌 A동 지하1층 109호
(지번) 중계동 360-9
"
봉심이족발,4.0,67,https://place.map.kakao.com/7908636,"
서울 노원구 덕릉로83길 20-5
(지번) 중계동 154-17
"
노브랜드버거 중계공원점,3.7,49,https://place.map.kakao.com/243743514,"
서울 노원구 동일로204가길 34
(지번) 중계동 509-1
"
온달왕돈까스 상계점,3.4,16,https://place.map.kakao.com/10625264,"
서울 노원구 한글비석로20길 10
(지번) 중계동 154-32
"
거북이삼겹살,5.0,57,https://place.map.kakao.com/1578482811,"
서울 노원구 덕릉로 721 정진아트리움 107,108호
(지번) 중계동 137-39
"
스타벅스 은행사거리점,3.2,3,https://place.map.kakao.com/10538293,"
서울 노원구 중계로 217 중흥빌딩 103,203호
(지번) 중계동 360-6
"
애슐리퀸즈 2001중계점,1.8,49,https://place.map.kakao.com/8459531,"
서울 노원구 동일로204가길 46 8층
(지번) 중계동 509
"
천우가,4.4,18,https://place.map.kakao.com/1431583989,"
서울 노원구 덕릉로 688 6층
(지번) 중계동 160-3
"
아리엔스시,4.3,18,https://place.map.kakao.com/18510014,"
서울 노원구 중계로 225 청구종합상가동 1층 143호
(지번) 중계동 360-2
"
맥도날드 중계점,2.5,2,https://place.map.kakao.com/7860478,"
서울 노원구 중계로 218
(지번) 중계동 359-14
"
카페브람스,2.1,11,https://place.map.kakao.com/1176215888,"
서울 노원구 중계로8길 48
(지번) 중계동 43-15
"
사이코우스시,1.1,15,https://place.map.kakao.com/24811983,"
서울 노원구 덕릉로73길 18
(지번) 중계동 423-40
"
KFC 중계은행사거리점,2.3,2,https://place.map.kakao.com/27584428,"
서울 노원구 한글비석로 227
(지번) 중계동 360-14
"
일식어원,4.0,16,https://place.map.kakao.com/8492822,"
서울 노원구 한글비석로 254
(지번) 중계동 364-22
"
요남자 중계점,4.4,11,https://place.map.kakao.com/25936383,"
서울 노원구 중계로16길 30 1층
(지번) 중계동 94-4
"
라트커피,5.0,29,https://place.map.kakao.com/743923214,"
서울 노원구 한글비석로 245 두타빌상가 B동 1층 124호
(지번) 중계동 360-9
"
청계천8가삼성곱창,5.0,6,https://place.map.kakao.com/27496466,"
서울 노원구 중계로14길 29
(지번) 중계동 84-36
"
뚝배기바지락칼국수,4.8,6,https://place.map.kakao.com/11884233,"
서울 노원구 중계로 158
(지번) 중계동 81
"
최고집칼국수 중계점,3.1,1,https://place.map.kakao.com/10841140,"
서울 노원구 한글비석로 325
(지번) 중계동 358-6
"
은사즉석떡볶이,5.0,5,https://place.map.kakao.com/1026702659,"
서울 노원구 한글비석로 264 그랜드프라자 2층
(지번) 중계동 366-6
"
미스터회전초밥,0.0,0,https://place.map.kakao.com/333754774,"
서울 노원구 한글비석로 264
(지번) 중계동 366-6
"
타요키즈카페 서울중계점,2.0,8,https://place.map.kakao.com/26352452,"
서울 노원구 덕릉로 669 5층
(지번) 중계동 434-1
"
투썸플레이스 중계은행사거리점,2.3,4,https://place.map.kakao.com/14683999,"
서울 노원구 한글비석로 242 삼부플라자 1층
(지번) 중계동 364-19
"
송화강식당,3.9,14,https://place.map.kakao.com/17588226,"
서울 노원구 한글비석로20길 14
(지번) 중계동 154-31
"
마리채 상계점,3.5,3,https://place.map.kakao.com/21237096,"
서울 노원구 덕릉로83길 9-8
(지번) 중계동 154-43
"
