,Name,Score,Numberofscore,Review,Link,Addr,Typename,lat,lng,Typenum
0,크래버대게나라 노원점,4.2,87,217,https://place.map.kakao.com/1028261118,서울 노원구 한글비석로 326 1층,"게,대게",37.6564743,127.078292,0
1,돈까스먹는용만이,3.6,35,123,https://place.map.kakao.com/12460195,서울 노원구 한글비석로20길 52,"돈까스,우동",37.6612172,127.0745963,0
2,호접몽,3.6,17,35,https://place.map.kakao.com/8177898,서울 노원구 중계로18길 9,중화요리,37.651092,127.0777783,1
3,중계고기파티,4.0,12,127,https://place.map.kakao.com/282482500,서울 노원구 중계로12길 6 1층,"육류,고기",37.6475933,127.081126,0
4,이종구낙지세상,4.5,15,23,https://place.map.kakao.com/26895444,서울 노원구 중계로 90 우암타운 1층,"해물,생선",37.643852,127.0838058,0
5,하나샤브샤브,3.4,16,44,https://place.map.kakao.com/187151325,서울 노원구 동일로203가길 29 브라운스톤상가 101호,샤브샤브,37.6400147,127.0642892,0
6,속초붉은대게 중계점,3.5,2,20,https://place.map.kakao.com/1701868494,서울 노원구 중계동 589,"게,대게",37.658358,127.0747916,0
7,칠성해물통짬뽕,4.4,30,21,https://place.map.kakao.com/27496127,서울 노원구 덕릉로83길 5 2층,중화요리,37.6597659,127.0749645,1
8,봉평메밀막국수 상계본점,3.9,16,13,https://place.map.kakao.com/9054096,서울 노원구 한글비석로20길 61,국수,37.6617034,127.0748884,0
9,화로상회 상계역점,2.2,9,54,https://place.map.kakao.com/1461918151,서울 노원구 한글비석로 384 대호프라자 113~120호,"육류,고기",37.65974730000001,127.0731798,0
10,영스넥,4.1,8,8,https://place.map.kakao.com/17079040,서울 노원구 한글비석로 245 두타빌 A동 지하1층 109호,떡볶이,37.65006109999999,127.0762802,0
11,봉심이족발,4.0,5,67,https://place.map.kakao.com/7908636,서울 노원구 덕릉로83길 20-5,"족발,보쌈",37.6603144,127.0742573,0
12,노브랜드버거 중계공원점,3.7,12,49,https://place.map.kakao.com/243743514,서울 노원구 동일로204가길 34,패스트푸드,37.6406859,127.0681273,3
13,온달왕돈까스 상계점,3.4,8,16,https://place.map.kakao.com/10625264,서울 노원구 한글비석로20길 10,"돈까스,우동",37.6596154,127.0737027,0
14,거북이삼겹살,5.0,3,57,https://place.map.kakao.com/1578482811,"서울 노원구 덕릉로 721 정진아트리움 107,108호",삼겹살,37.6620527,127.0754573,0
15,스타벅스 은행사거리점,3.2,6,4,https://place.map.kakao.com/10538293,"서울 노원구 중계로 217 중흥빌딩 103,203호",커피전문점,37.6504634,127.0759752,4
16,천우가,4.4,5,18,https://place.map.kakao.com/1431583989,서울 노원구 덕릉로 688 6층,"육류,고기",37.6589031,127.0755986,0
17,애슐리퀸즈 2001중계점,1.8,17,49,https://place.map.kakao.com/8459531,서울 노원구 동일로204가길 46 8층,패밀리레스토랑,37.6412281,127.0678668,3
18,아리엔스시,4.3,11,18,https://place.map.kakao.com/18510014,서울 노원구 중계로 225 청구종합상가동 1층 143호,"초밥,롤",37.6503119,127.0747945,2
19,맥도날드 중계점,2.5,6,2,https://place.map.kakao.com/7860478,서울 노원구 중계로 218,패스트푸드,37.6508113,127.0759834,3
20,카페브람스,2.1,8,11,https://place.map.kakao.com/1176215888,서울 노원구 중계로8길 48,카페,37.6461632,127.0846881,4
21,일식어원,4.0,5,16,https://place.map.kakao.com/8492822,서울 노원구 한글비석로 254,일식집,37.6503505,127.0770883,2
22,사이코우스시,1.1,8,15,https://place.map.kakao.com/24811983,서울 노원구 덕릉로73길 18,"초밥,롤",37.6521367,127.0723076,2
23,KFC 중계은행사거리점,2.4,7,2,https://place.map.kakao.com/27584428,서울 노원구 한글비석로 227,패스트푸드,37.647867,127.0762533,3
24,요남자 중계점,4.4,5,11,https://place.map.kakao.com/25936383,서울 노원구 중계로16길 30 1층,양식,37.65097859999999,127.0820691,3
25,라트커피,5.0,7,29,https://place.map.kakao.com/743923214,서울 노원구 한글비석로 245 두타빌상가 B동 1층 124호,커피전문점,37.65006109999999,127.0762802,4
26,뚝배기바지락칼국수,4.8,8,6,https://place.map.kakao.com/11884233,서울 노원구 중계로 158,국수,37.6490287,127.0810154,0
27,송화강식당,3.9,8,14,https://place.map.kakao.com/17588226,서울 노원구 한글비석로20길 14,양꼬치,37.6597492,127.0737645,1
28,은사즉석떡볶이,5.0,4,5,https://place.map.kakao.com/1026702659,서울 노원구 한글비석로 264 그랜드프라자 2층,떡볶이,37.6508596,127.0770963,0
29,최고집칼국수 중계점,3.1,8,1,https://place.map.kakao.com/10841140,서울 노원구 한글비석로 325,국수,37.6564075,127.077699,0
30,미스터회전초밥,0.0,0,0,https://place.map.kakao.com/333754774,서울 노원구 한글비석로 264,음식점,37.6510283,127.0772272,0
31,투썸플레이스 중계은행사거리점,2.3,8,4,https://place.map.kakao.com/14683999,서울 노원구 한글비석로 242 삼부플라자 1층,커피전문점,37.6492209,127.0769575,4
32,청계천8가삼성곱창,5.0,11,6,https://place.map.kakao.com/27496466,서울 노원구 중계로14길 29,"곱창,막창",37.6497561,127.0819708,0
33,타요키즈카페 서울중계점,2.0,1,8,https://place.map.kakao.com/26352452,서울 노원구 덕릉로 669 5층,키즈카페,37.6573431,127.0746365,4
