Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
감동식당,4.7,82,181,https://place.map.kakao.com/1317959049,서울 노원구 한글비석로47길 58 1층,상계동 434-49,갈비
강강술래 상계점,3.5,38,117,https://place.map.kakao.com/18536783,서울 노원구 동일로 1628 2층,상계동 1025-4,"육류,고기"
로니로티 노원점,4.0,30,210,https://place.map.kakao.com/1010045527,서울 노원구 상계로 63-7 청우빌딩 2층 201호,상계동 603-8,양식
감각,3.1,20,196,https://place.map.kakao.com/586007148,서울 노원구 상계로 77 1층,상계동 337,카페
어글리스토브 노원역점,3.8,32,142,https://place.map.kakao.com/24658744,서울 노원구 노해로81길 12-21 3층,상계동 332-8,양식
시드누아 노원본점,2.6,53,169,https://place.map.kakao.com/19696160,서울 노원구 상계로 84,상계동 341-5,커피전문점
왕십리조개창고 노원점,3.0,26,135,https://place.map.kakao.com/25450376,서울 노원구 상계로1길 38-11 우창프라자 2층 201호,상계동 591-2,조개
용순가재골수제비,2.6,45,156,https://place.map.kakao.com/20747637,서울 노원구 동일로242길 100 1층,상계동 996-8,수제비
소담촌 노원역점,3.2,15,51,https://place.map.kakao.com/2097885929,서울 노원구 상계로 90 마블러스1 2층,상계동 341-7,샤브샤브
숟가락반상 마실 노원점,4.2,65,39,https://place.map.kakao.com/1601456521,서울 노원구 노원로 412,상계동 318-1,한식
삼덕식당,3.8,14,94,https://place.map.kakao.com/298434750,서울 노원구 상계로5길 9 1층,상계동 354-6,"육류,고기"
땅코참숯구이 노원점,4.6,20,100,https://place.map.kakao.com/1572967845,서울 노원구 노해로85길 15-5,상계동 348-4,"육류,고기"
털보고된이 본점,4.0,56,106,https://place.map.kakao.com/26086942,서울 노원구 노해로81길 22-22,상계동 332-3,"해물,생선"
풍미연,2.7,17,50,https://place.map.kakao.com/16590379,서울 노원구 노해로85길 7,상계동 323-11,설렁탕
수락이오냉면 본점,3.3,24,54,https://place.map.kakao.com/16526733,서울 노원구 동일로237다길 7 1층,상계동 1048-10,냉면
72420 노원직영점,4.3,31,69,https://place.map.kakao.com/38006070,서울 노원구 동일로217가길 11 1층,상계동 733-2,베트남음식
스시노칸도 노원역점,2.8,27,189,https://place.map.kakao.com/1358381190,서울 노원구 상계로3길 28 영빈빌딩 4층,상계동 358-31,"초밥,롤"
스시웨이 노원점,3.0,18,61,https://place.map.kakao.com/17849636,서울 노원구 동일로 1374,상계동 749,"초밥,롤"
수시로스시,3.5,20,87,https://place.map.kakao.com/736602099,서울 노원구 노원로 479 대광빌딩 1층,상계동 401-17,"초밥,롤"
위안바오,3.8,36,111,https://place.map.kakao.com/416374182,서울 노원구 동일로 1426,상계동 693,중식
이춘복참치 노원직영점,2.4,18,35,https://place.map.kakao.com/13608491,서울 노원구 노해로85길 10-7,상계동 324-5,참치회
우리집곱창 본점,4.1,14,71,https://place.map.kakao.com/16327756,서울 노원구 덕릉로123길 11,상계동 65-2,"곱창,막창"
풍성진감자탕,4.7,22,27,https://place.map.kakao.com/767594066,서울 노원구 노해로83길 10-11,상계동 326-2,감자탕
쭈꾸미킹 노원점,3.2,13,84,https://place.map.kakao.com/592034631,서울 노원구 상계로1길 34 뉴금오프라자 1층,상계동 591-7,"해물,생선"
화포식당 노원점,4.2,11,79,https://place.map.kakao.com/331097438,서울 노원구 상계로 72,상계동 598-1,"육류,고기"
샛별제과,4.6,19,47,https://place.map.kakao.com/1488538685,서울 노원구 상계로9길 23 101호,상계동 397-4,디저트카페
노원돈부리,4.4,42,59,https://place.map.kakao.com/709257368,서울 노원구 동일로 1343 동일프라자 101~103호,상계동 763-7,일식
장천,3.6,17,128,https://place.map.kakao.com/229428334,서울 노원구 동일로217가길 11 2층 202호,상계동 733-2,중화요리
아웃백스테이크하우스 노원점,3.7,22,158,https://place.map.kakao.com/16997192,서울 노원구 동일로 1419,상계동 711-12,패밀리레스토랑
커피베스코,4.4,7,31,https://place.map.kakao.com/17688746,서울 노원구 상계로 55 2층,상계동 693-3,커피전문점
노원한우,3.3,3,124,https://place.map.kakao.com/1171557896,서울 노원구 동일로218길 35,상계동 725-3,"육류,고기"
썸머타이,4.1,34,47,https://place.map.kakao.com/89011711,서울 노원구 노해로75길 14-25 동신빌딩 1층,상계동 707-3,태국음식
엄마손칼국수,3.9,26,52,https://place.map.kakao.com/16051532,서울 노원구 상계로39길 5,상계동 111-478,국수
시즌,4.0,3,140,https://place.map.kakao.com/985778800,서울 노원구 상계로3길 38-2 2층,상계동 358-6,디저트카페
옛날칼국수,2.5,19,86,https://place.map.kakao.com/8015984,서울 노원구 동일로 1417,상계동 711-13,국수
한우가,4.5,4,6,https://place.map.kakao.com/448912210,서울 노원구 노해로 517 굿모닝빌딩 1층,상계동 323-16,"육류,고기"
제임스키친,4.3,8,56,https://place.map.kakao.com/17005666,서울 노원구 노해로81길 12-26 2층,상계동 328-9,이탈리안
