Name,Score,Numberofscore,Review,Link,Addr,Typename
연어시장,4.4,38,71,https://place.map.kakao.com/27487698,서울 노원구 석계로 13,회
무명칼국수,4.3,30,73,https://place.map.kakao.com/16820063,서울 노원구 석계로7길 4,국수
엄마마늘보쌈,4.1,17,39,https://place.map.kakao.com/19338611,서울 노원구 석계로 16,"족발,보쌈"
화로상회,3.3,8,13,https://place.map.kakao.com/27503771,서울 노원구 광운로 37,"육류,고기"
마떡다이천 광운대본점,4.5,19,13,https://place.map.kakao.com/1433789219,서울 노원구 석계로 106 1층,분식
3900착한초밥,4.0,17,15,https://place.map.kakao.com/1465489061,서울 노원구 광운로1길 26,"초밥,롤"
스시다온,4.1,16,57,https://place.map.kakao.com/1660204183,서울 노원구 석계로 9 2층,"초밥,롤"
1일1잔,5.0,3,9,https://place.map.kakao.com/485967615,서울 노원구 광운로2길 6 1층,디저트카페
라무야끼,4.0,5,51,https://place.map.kakao.com/1867396584,서울 노원구 석계로3길 15-1,"육류,고기"
스타벅스 월계역점,2.9,16,6,https://place.map.kakao.com/1516356548,서울 노원구 초안산로2라길 26 104~106호,커피전문점
서민초밥,3.8,10,38,https://place.map.kakao.com/417526658,서울 노원구 석계로3길 17,"초밥,롤"
투썸플레이스 석계역점,2.4,13,6,https://place.map.kakao.com/18513082,서울 노원구 석계로1길 10 2층,커피전문점
진정성담은양평가,3.0,2,32,https://place.map.kakao.com/1876792092,서울 노원구 석계로1길 14 2층,해장국
일심해장국 월계점,2.9,7,184,https://place.map.kakao.com/15319006,서울 노원구 석계로15길 25 한일아파트상가 108호,해장국
마루국시,3.1,8,5,https://place.map.kakao.com/11741047,서울 노원구 월계로55길 64 1층,한정식
스타벅스 광운대점,3.6,9,3,https://place.map.kakao.com/17884753,서울 노원구 석계로 104,커피전문점
베트남노상식당 광운대점,3.8,13,15,https://place.map.kakao.com/133766057,서울 노원구 월계동 925,동남아음식
스시쟁이,2.8,14,10,https://place.map.kakao.com/26502291,서울 노원구 석계로 18,"초밥,롤"
카페거실,3.4,7,19,https://place.map.kakao.com/1907430050,서울 노원구 화랑로47길 9,커피전문점
일번지포장마차,3.9,8,43,https://place.map.kakao.com/15291549,서울 노원구 화랑로 337-4,실내포장마차
육장군,4.4,5,33,https://place.map.kakao.com/27576442,서울 노원구 화랑로 337-15,"육류,고기"
호재돈까스,4.4,18,35,https://place.map.kakao.com/1953570472,서울 노원구 석계로3길 15-1,"돈까스,우동"
슬슬커피,4.8,4,13,https://place.map.kakao.com/1682165592,서울 노원구 석계로11길 35 1층,커피전문점
서초우동 광운대역점,4.9,8,4,https://place.map.kakao.com/21556473,서울 노원구 석계로18길 23,"돈까스,우동"
기와집,4.1,7,6,https://place.map.kakao.com/8690963,서울 노원구 석계로 35,한식
오메가생선구이 본점,4.3,7,17,https://place.map.kakao.com/17271272,서울 노원구 화랑로 343,"해물,생선"
장군숯불족발,4.5,2,26,https://place.map.kakao.com/8073706,서울 노원구 화랑로43가길 27,"족발,보쌈"
마시써머거바,3.5,2,12,https://place.map.kakao.com/914234380,서울 노원구 월계동 46-3,토스트
황금오리,3.5,2,6,https://place.map.kakao.com/9630494,서울 노원구 석계로1길 22,오리
삼대냉면,3.9,7,16,https://place.map.kakao.com/16380812,서울 노원구 석계로9길 33 1층,냉면
한입삼겹살,3.0,5,1,https://place.map.kakao.com/299247092,서울 노원구 화랑로 337-4,삼겹살
왕코등갈비 석계점,3.0,4,8,https://place.map.kakao.com/23123025,서울 노원구 석계로 22,갈비
미가양꼬치,4.7,6,5,https://place.map.kakao.com/13027304,서울 노원구 석계로 13-3 1층,양꼬치
맘스터치 석계역점,2.2,10,4,https://place.map.kakao.com/1367802236,서울 노원구 석계로1길 18 2층,패스트푸드
제주본가,3.5,4,5,https://place.map.kakao.com/9408821,서울 노원구 석계로1길 18,"육류,고기"
애슐리퀸즈 이마트월계점,2.6,14,59,https://place.map.kakao.com/680801617,서울 노원구 마들로3길 15 이마트월계점 1층 애슐리퀸즈,패밀리레스토랑
육수당 석계역점,3.6,7,18,https://place.map.kakao.com/1892516181,서울 노원구 화랑로 343 1층 102호,국밥
초안산갈비,5.0,3,6,https://place.map.kakao.com/1635721809,서울 노원구 덕릉로60길 263,갈비
호호커피집,4.3,7,9,https://place.map.kakao.com/16421234,"서울 노원구 화랑로 337-21 1층, 2층",커피전문점
우리집,4.0,4,3,https://place.map.kakao.com/16851034,서울 노원구 광운로22길 9,한식
