Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
연어시장,4.5,39,70,https://place.map.kakao.com/27487698,서울 노원구 석계로 13,월계동 63-5,회
무명칼국수,4.3,31,73,https://place.map.kakao.com/16820063,서울 노원구 석계로7길 4,월계동 68-79,국수
엄마마늘보쌈,4.1,17,39,https://place.map.kakao.com/19338611,서울 노원구 석계로 16,월계동 64-10,"족발,보쌈"
화로상회,3.3,8,12,https://place.map.kakao.com/27503771,서울 노원구 광운로 37,월계동 402-11,"육류,고기"
스시다온,4.1,16,62,https://place.map.kakao.com/1660204183,서울 노원구 석계로 9 2층,월계동 59-3,"초밥,롤"
마떡다이천 광운대본점,4.5,19,13,https://place.map.kakao.com/1433789219,서울 노원구 석계로 106 1층,월계동 379-36,분식
1일1잔,5.0,3,9,https://place.map.kakao.com/485967615,서울 노원구 광운로2길 6 1층,월계동 472-45,디저트카페
3900착한초밥,3.9,18,15,https://place.map.kakao.com/1465489061,서울 노원구 광운로1길 26,월계동 497-5,"초밥,롤"
라무야끼,3.8,6,51,https://place.map.kakao.com/1867396584,서울 노원구 석계로3길 15-1,월계동 55-10,"육류,고기"
스타벅스 월계역점,2.9,15,6,https://place.map.kakao.com/1516356548,서울 노원구 초안산로2라길 26 104~106호,월계동 635-6,커피전문점
서민초밥,3.8,10,37,https://place.map.kakao.com/417526658,서울 노원구 석계로3길 17,월계동 55-8,"초밥,롤"
투썸플레이스 석계역점,2.4,13,6,https://place.map.kakao.com/18513082,서울 노원구 석계로1길 10 2층,월계동 58-2,커피전문점
진정성담은양평가,3.0,2,32,https://place.map.kakao.com/1876792092,서울 노원구 석계로1길 14 2층,월계동 56-8,해장국
일심해장국 월계점,2.9,7,178,https://place.map.kakao.com/15319006,서울 노원구 석계로15길 25 한일아파트상가 108호,월계동 926,해장국
마루국시,3.1,8,5,https://place.map.kakao.com/11741047,서울 노원구 월계로55길 64 1층,월계동 320-4,한정식
베트남노상식당 광운대점,3.8,13,15,https://place.map.kakao.com/133766057,0,월계동 925,동남아음식
스타벅스 광운대점,3.6,9,3,https://place.map.kakao.com/17884753,서울 노원구 석계로 104,월계동 410-1,커피전문점
스시쟁이,2.8,14,10,https://place.map.kakao.com/26502291,서울 노원구 석계로 18,월계동 64-9,"초밥,롤"
육장군,4.4,5,32,https://place.map.kakao.com/27576442,서울 노원구 화랑로 337-15,월계동 62-10,"육류,고기"
카페거실,3.4,7,20,https://place.map.kakao.com/1907430050,서울 노원구 화랑로47길 9,월계동 26-23,커피전문점
일번지포장마차,3.9,8,42,https://place.map.kakao.com/15291549,서울 노원구 화랑로 337-4,월계동 36-5,실내포장마차
호재돈까스,4.4,18,35,https://place.map.kakao.com/1953570472,서울 노원구 석계로3길 15-1,월계동 55,"돈까스,우동"
서초우동 광운대역점,4.9,8,4,https://place.map.kakao.com/21556473,서울 노원구 석계로18길 23,월계동 382-3,"돈까스,우동"
슬슬커피,4.8,4,13,https://place.map.kakao.com/1682165592,서울 노원구 석계로11길 35 1층,월계동 484,커피전문점
기와집,4.1,7,5,https://place.map.kakao.com/8690963,서울 노원구 석계로 35,월계동 73-2,한식
장군숯불족발,4.5,2,19,https://place.map.kakao.com/8073706,서울 노원구 화랑로43가길 27,월계동 51-6,"족발,보쌈"
