,Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename,Latitude,Longtitude,Typenum,Dong,Challenge,Totalscore
2,경복식당,4.7,109,132,https://place.map.kakao.com/16414503,서울 노원구 공릉로39길 10,공릉동 740,한식,37.6238783,127.0789484,0,A,1,768.45
6,쪼매매운떡볶이 공릉점,4.5,80,123,https://place.map.kakao.com/16703995,서울 노원구 공릉로 208,공릉동 208-18,떡볶이,37.628258,127.0777683,0,A,1,540.0
36,청교옥,4.2,66,8,https://place.map.kakao.com/88388237,서울 노원구 공릉로 225 1층,공릉동 438-2,냉면,37.6293475,127.0765177,0,A,1,360.36
1,라라브레드 공릉점,3.8,69,365,https://place.map.kakao.com/872257394,서울 노원구 공릉로41길 32,공릉동 350-24,디저트카페,37.6248229,127.0778368,4,A,1,314.64
3,공릉본점닭한마리 본점,3.9,49,75,https://place.map.kakao.com/20553565,서울 노원구 동일로 1020,공릉동 577-10,닭요리,37.62114450000001,127.0747999,0,A,1,229.32
5,에그머니,4.3,39,162,https://place.map.kakao.com/1826529353,서울 노원구 화랑로 421,공릉동 683-14,양식,37.6175347,127.0741865,3,A,1,218.01
4,제일콩집,3.6,55,82,https://place.map.kakao.com/8083654,서울 노원구 동일로174길 37-8,공릉동 633-18,두부전문점,37.6194809,127.0776354,0,A,1,217.8
24,경성초밥,4.6,31,61,https://place.map.kakao.com/1169910256,서울 노원구 공릉로 119-5,공릉동 589-21,일식,37.6210059,127.0781524,2,A,1,213.9
60,알러이,4.9,27,39,https://place.map.kakao.com/1682005121,서울 노원구 공릉로43길 15,공릉동 408-1,아시아음식,37.6259893,127.0787003,5,A,1,198.45
15,따미커피,4.7,24,15,https://place.map.kakao.com/818423534,서울 노원구 공릉로 120,공릉동 644-24,커피전문점,37.6206095,127.0785096,4,A,1,169.2
64,비스킷플로어,3.8,36,61,https://place.map.kakao.com/1117657731,서울 노원구 동일로180길 61-7,공릉동 561-22,카페,37.6232062,127.0775679,4,A,1,164.16
69,에이치큐브,3.9,35,13,https://place.map.kakao.com/26927344,"서울 노원구 노원로1길 73-12 지하1층,1,2층",공릉동 240-243,카페,37.6204575,127.0829327,4,A,1,163.8
23,무드쉐어,3.9,29,60,https://place.map.kakao.com/1338966452,서울 노원구 공릉로 119-23 1층 101호,공릉동 589-16,카페,37.6214868,127.0778938,4,A,1,135.72
21,표준커피,4.5,20,68,https://place.map.kakao.com/153487369,서울 노원구 공릉로 119-5 이지스퀘어 1층,공릉동 589-21,카페,37.6210059,127.0781524,4,A,1,135.0
12,상상과자점,3.9,28,95,https://place.map.kakao.com/1571140539,서울 노원구 동일로186길 77-7,공릉동 504-15,디저트카페,37.6257193,127.0770134,4,A,1,131.04
88,등촌샤브칼국수 공릉점,4.7,18,37,https://place.map.kakao.com/1368613255,서울 노원구 공릉로 179 1층,공릉동 408-8,샤브샤브,37.6258001,127.0796271,0,A,1,126.9
56,오누이,4.6,18,46,https://place.map.kakao.com/216150274,서울 노원구 동일로187길 12-47 1층,공릉동 400-17,카페,37.62459,127.0723759,4,A,1,124.2
