,Name,Score,Numberofscore,Review,Link,Addr,lat,lng
0,감동식당,4.6,54,179,https://place.map.kakao.com/1317959049,"
서울 노원구 한글비석로47길 58 1층
(지번) 상계동 434-49
",37.6615836,127.0665469
1,강강술래 상계점,3.3,37,123,https://place.map.kakao.com/18536783,"
서울 노원구 동일로 1628 2층
(지번) 상계동 1025-4
",37.6738242,127.0560348
2,로니로티 노원점,4.0,30,209,https://place.map.kakao.com/1010045527,"
서울 노원구 상계로 63-7 청우빌딩 2층 201호
(지번) 상계동 603-8
",37.616363,127.033796
3,감각,3.1,20,195,https://place.map.kakao.com/586007148,"
서울 노원구 상계로 77 1층
(지번) 상계동 337
",37.6567015,127.0634404
4,어글리스토브 노원역점,3.8,32,147,https://place.map.kakao.com/24658744,"
서울 노원구 노해로81길 12-21 3층
(지번) 상계동 332-8
",37.655781,127.0641648
5,시드누아 노원본점,2.6,52,168,https://place.map.kakao.com/19696160,"
서울 노원구 상계로 84
(지번) 상계동 341-5
",37.6562709,127.0642402
6,왕십리조개창고 노원점,2.9,25,134,https://place.map.kakao.com/25450376,"
서울 노원구 상계로1길 38-11 우창프라자 2층 201호
(지번) 상계동 591-2
",37.6579356,127.0620399
7,삼덕식당,3.8,14,101,https://place.map.kakao.com/298434750,"
서울 노원구 상계로5길 9 1층
(지번) 상계동 354-6
",37.6569542,127.0638327
8,땅코참숯구이 노원점,4.5,19,99,https://place.map.kakao.com/1572967845,"
서울 노원구 노해로85길 15-5
(지번) 상계동 348-4
",37.6563426,127.0653296
9,털보고된이 본점,4.0,54,107,https://place.map.kakao.com/26086942,"
서울 노원구 노해로81길 22-22
(지번) 상계동 332-3
",37.6558713,127.0637387
10,숟가락반상 마실 노원점,4.2,65,42,https://place.map.kakao.com/1601456521,"
서울 노원구 노원로 412
(지번) 상계동 318-1
",37.653374,127.0680991
11,소담촌 노원역점,3.1,14,52,https://place.map.kakao.com/2097885929,"
서울 노원구 상계로 90 마블러스1 2층
(지번) 상계동 341-7
",37.6587754,127.0684857
12,용순가재골수제비,2.6,44,157,https://place.map.kakao.com/20747637,"
서울 노원구 동일로242길 100 1층
(지번) 상계동 996-8
",37.6743943,127.0606312
13,풍미연,2.7,17,51,https://place.map.kakao.com/16590379,"
서울 노원구 노해로85길 7
(지번) 상계동 323-11
",37.655641,127.0648035
14,수락이오냉면 본점,3.3,23,54,https://place.map.kakao.com/16526733,"
서울 노원구 동일로237다길 7 1층
(지번) 상계동 1048-10
",37.6738747,127.0525666
