,Name,Score,Review,Link,Addr,lat,lng
0,신가네칼국수 노원본점,4.4,160,https://place.map.kakao.com/9199444,"
서울 노원구 공릉로59나길 78-14 1층
(지번) 하계동 115-1
",37.6356584,127.0702137
1,해품장 팔팔장어 본점,4.4,62,https://place.map.kakao.com/804932066,"
서울 노원구 노원로 192
(지번) 하계동 69-8
",37.6373708,127.0794606
2,제형면옥 하계점,2.9,25,https://place.map.kakao.com/84131333,"
서울 노원구 공릉로65길 16
(지번) 하계동 115-5
",37.6353337,127.0700546
3,마들원,2.0,55,https://place.map.kakao.com/1394900382,"
서울 노원구 공릉로62길 27-11
(지번) 하계동 180-1
",37.6363706,127.0712902
4,DNJ레스토랑,3.0,11,https://place.map.kakao.com/21391105,"
서울 노원구 노원로 244 1층
(지번) 하계동 256-11
",37.6394838,127.0742949
5,참누렁소,2.3,37,https://place.map.kakao.com/13094333,"
서울 노원구 공릉로63길 13
(지번) 하계1동 276-6
",37.634848,127.070507
6,태능숯불갈비,3.3,11,https://place.map.kakao.com/9490689,"
서울 노원구 한글비석로1길 37
(지번) 하계동 208-1
",37.6392915,127.0703463
7,502세컨즈카페 노원점,1.6,17,https://place.map.kakao.com/27583400,"
서울 노원구 섬밭로 232 1층
(지번) 하계동 270
",37.6366317,127.066364
8,포앤반 하계역점,4.5,37,https://place.map.kakao.com/1288692596,"
서울 노원구 공릉로 322-3 1층
(지번) 하계동 170-36
",37.6357361,127.0715009
9,신고집찜칼국수 본점,3.5,22,https://place.map.kakao.com/9217906,"
서울 노원구 노원로15길 51-30
(지번) 하계동 209-2
",37.6394183,127.0700841
10,신설국,3.7,18,https://place.map.kakao.com/7948597,"
서울 노원구 노원로 257 인정빌딩 2층 201호
(지번) 하계동 251-4
",37.6401942,127.0727915
11,장위동유성집 노원점,3.0,9,https://place.map.kakao.com/9341030,"
서울 노원구 한글비석로1길 68
(지번) 하계동 251
",37.6392243,127.0715448
12,버거투버거,4.7,14,https://place.map.kakao.com/16877137,"
서울 노원구 공릉로62가길 50
(지번) 하계동 59
",37.6370071,127.0747834
13,짬뽕필락 하계점,3.1,12,https://place.map.kakao.com/14747411,"
서울 노원구 공릉로70길 6 2층
(지번) 하계동 208-26
",37.6391166,127.0697672
14,향림,2.3,6,https://place.map.kakao.com/8613656,"
서울 노원구 한글비석로 127 마린스포츠센타 2층
(지번) 하계동 256-5
",37.6393913,127.0754063
